KPI,Building_1,Building_10,Building_11,Building_12,Building_13,Building_14,Building_15,Building_16,Building_17,Building_2,Building_3,Building_4,Building_5,Building_6,Building_7,Building_8,Building_9,District
building_solar_self_consumption_total_export_business_as_usual_kwh,3477.600872464478,667.3033908782527,86.52346882323036,72.10956126946257,100.74674047715962,2.594633019529283,0.43729960545897484,705.9417358725332,265.45490444335155,138.88294174615294,261.4859783355496,591.5088257673196,1890.944662601687,38.62014242360601,1990.2873046468012,330.13252921705134,349.25386252463795,
building_solar_self_consumption_total_export_delta_to_business_as_usual_kwh,232.70082417689264,288.38152267830446,235.39194484002655,168.9907847767463,319.9210791280493,176.36374285910279,0.2628500461578369,341.4255571188405,297.97755085793324,276.50047275517136,266.29250876029255,334.31924697360955,207.90588821098208,298.20820275781443,346.5772483635228,378.43904845486395,312.5627057903912,
building_solar_self_consumption_total_export_kwh,3710.3016966413707,955.6849135565571,321.9154136632569,241.10034604620887,420.66781960520893,178.95837587863207,0.7001496516168118,1047.3672929913737,563.4324553012848,415.3834145013243,527.7784870958421,925.8280727409292,2098.850550812669,336.82834518142045,2336.864553010324,708.5715776719153,661.8165683150291,
building_solar_self_consumption_total_generation_business_as_usual_kwh,5145.312488999916,2020.8652009419166,1673.8636843680288,2665.1234841572586,1676.5197826863732,582.6662361380295,4.825899915769696,2090.1226070048288,1537.9414015208604,1290.102672954672,1389.7534740793053,2303.010175654199,3580.887645173818,1517.8372976278188,3466.4265641472302,1602.7586569220293,1363.4129069029586,
building_solar_self_consumption_total_generation_delta_to_business_as_usual_kwh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
building_solar_self_consumption_total_generation_kwh,5145.312488999916,2020.8652009419166,1673.8636843680288,2665.1234841572586,1676.5197826863732,582.6662361380295,4.825899915769696,2090.1226070048288,1537.9414015208604,1290.102672954672,1389.7534740793053,2303.010175654199,3580.887645173818,1517.8372976278188,3466.4265641472302,1602.7586569220293,1363.4129069029586,
district_battery_health_capacity_fade_business_as_usual_ratio,,,,,,,,,,,,,,,,,,0.0005518685128907308
district_battery_health_capacity_fade_delta_to_business_as_usual_ratio,,,,,,,,,,,,,,,,,,-0.00033730529475999585
district_battery_health_capacity_fade_ratio,,,,,,,,,,,,,,,,,,0.00021456321813073496
district_battery_health_equivalent_full_cycles_business_as_usual_count,,,,,,,,,,,,,,,,,,55.169920004366695
district_battery_health_equivalent_full_cycles_count,,,,,,,,,,,,,,,,,,21.453821254773864
district_battery_health_equivalent_full_cycles_delta_to_business_as_usual_count,,,,,,,,,,,,,,,,,,-33.71609874959283
district_battery_ratio_to_business_as_usual_capacity_fade_ratio,,,,,,,,,,,,,,,,,,0.38879409337350285
district_battery_ratio_to_business_as_usual_charge_ratio,,,,,,,,,,,,,,,,,,0.39718098114682815
district_battery_ratio_to_business_as_usual_discharge_ratio,,,,,,,,,,,,,,,,,,0.37900647688719147
district_battery_ratio_to_business_as_usual_equivalent_full_cycles_ratio,,,,,,,,,,,,,,,,,,0.3888680870495334
district_battery_ratio_to_business_as_usual_throughput_ratio,,,,,,,,,,,,,,,,,,0.38886808704953346
district_battery_total_charge_business_as_usual_kwh,,,,,,,,,,,,,,,,,,6513.981220792979
district_battery_total_charge_delta_to_business_as_usual_kwh,,,,,,,,,,,,,,,,,,-3926.7517683464102
district_battery_total_charge_kwh,,,,,,,,,,,,,,,,,,2587.2294524465688
district_battery_total_discharge_business_as_usual_kwh,,,,,,,,,,,,,,,,,,5490.993372157216
district_battery_total_discharge_delta_to_business_as_usual_kwh,,,,,,,,,,,,,,,,,,-3409.8713195649907
district_battery_total_discharge_kwh,,,,,,,,,,,,,,,,,,2081.1220525922254
district_battery_total_throughput_business_as_usual_kwh,,,,,,,,,,,,,,,,,,12004.974592950195
district_battery_total_throughput_delta_to_business_as_usual_kwh,,,,,,,,,,,,,,,,,,-7336.623087911401
district_battery_total_throughput_kwh,,,,,,,,,,,,,,,,,,4668.351505038794
district_comfort_resilience_discomfort_cold_delta_average_c,,,,,,,,,,,,,,,,,,0.0
district_comfort_resilience_discomfort_cold_delta_max_c,,,,,,,,,,,,,,,,,,0.0
district_comfort_resilience_discomfort_cold_delta_min_c,,,,,,,,,,,,,,,,,,0.0
